DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-07-22,EQ,717.0,735.0,715.1,715.55,731.0,730.75,723.24,866.9,618.25,9713490,7025154429.35,138655,AXISBANK
2022-07-25,EQ,733.5,738.8,722.5,730.75,726.65,727.35,729.63,866.9,618.25,6230411,4545876594.4,116712,AXISBANK
2022-07-26,EQ,722.9,723.45,702.05,727.35,706.4,706.45,711.71,866.9,618.25,14135744,10060495619.25,241332,AXISBANK
2022-07-27,EQ,707.95,720.55,703.6,706.45,720.0,718.95,714.2,866.9,618.25,6106880,4361528315.2,130595,AXISBANK
2022-07-28,EQ,725.0,733.7,723.05,718.95,725.5,725.9,727.27,866.9,618.25,6964838,5065349030.75,143825,AXISBANK
2022-07-29,EQ,733.9,734.95,723.0,725.9,724.5,724.75,727.22,866.9,618.25,6624854,4817718151.6,99776,AXISBANK
2022-08-01,EQ,726.0,732.3,720.4,724.75,730.4,730.8,727.99,866.9,618.25,5493105,3998903023.8,112403,AXISBANK
2022-08-02,EQ,727.0,734.35,721.1,730.8,727.5,730.45,728.87,866.9,618.25,7275626,5303021273.2,143593,AXISBANK
2022-08-03,EQ,730.0,738.5,727.5,730.45,731.0,730.5,731.5,866.9,618.25,9458761,6919056593.9,187036,AXISBANK
2022-08-04,EQ,735.2,736.7,712.2,730.5,720.9,721.6,724.32,866.9,618.25,7466635,5408228798.95,173946,AXISBANK
2022-08-05,EQ,724.0,731.2,721.2,721.6,728.75,728.5,727.07,866.9,618.25,4583196,3332311247.0,100457,AXISBANK
2022-08-08,EQ,730.0,747.35,728.1,728.5,746.0,745.55,741.01,866.9,618.25,8191870,6070291507.15,144979,AXISBANK
2022-08-10,EQ,745.0,747.85,736.15,745.55,738.75,739.0,740.34,866.9,618.25,9069541,6714568928.75,130120,AXISBANK
2022-08-11,EQ,743.05,760.65,743.05,739.0,758.7,758.85,755.01,866.9,618.25,12384073,9350082262.85,193797,AXISBANK
2022-08-12,EQ,758.7,762.0,753.4,758.85,760.0,760.55,758.18,866.9,618.25,4614341,3498499772.95,88338,AXISBANK
2022-08-16,EQ,765.0,772.0,758.45,760.55,763.5,764.65,765.32,866.9,618.25,7051498,5396659946.3,111483,AXISBANK
2022-08-17,EQ,771.4,773.75,766.25,764.65,771.4,772.1,770.53,866.9,618.25,7674390,5913321730.65,114420,AXISBANK
2022-08-18,EQ,772.0,776.0,762.1,772.1,765.5,765.05,768.43,866.9,618.25,9449924,7261564693.1,95616,AXISBANK
2022-08-19,EQ,772.0,772.65,750.25,765.05,754.6,757.5,760.62,866.9,618.25,7553270,5745137336.9,113627,AXISBANK
2022-08-22,EQ,753.4,754.45,739.2,757.5,744.65,741.85,743.44,866.9,618.25,4994311,3712958866.5,123128,AXISBANK
2022-08-23,EQ,738.0,750.85,733.8,741.85,750.0,747.05,740.87,866.9,618.25,6594634,4885759653.4,144581,AXISBANK
2022-08-24,EQ,745.0,752.05,742.0,747.05,750.85,750.15,748.09,866.9,618.25,6875820,5143766073.7,118223,AXISBANK
2022-08-25,EQ,753.9,758.6,740.0,750.15,740.8,743.35,751.74,866.9,618.25,6320890,4751670620.55,121724,AXISBANK
2022-08-26,EQ,748.0,755.0,741.3,743.35,746.0,744.9,747.83,866.9,618.25,4613713,3450256419.2,119831,AXISBANK
2022-08-29,EQ,730.0,734.9,722.05,744.9,729.7,728.7,729.48,866.9,618.25,5904146,4306962573.6,144344,AXISBANK
2022-08-30,EQ,733.0,753.55,733.0,728.7,751.5,751.5,745.03,866.9,618.25,9193270,6849246045.85,150100,AXISBANK
2022-09-01,EQ,733.5,754.9,733.5,751.5,744.65,744.15,745.79,866.9,618.25,9353805,6975967234.2,190088,AXISBANK
2022-09-02,EQ,749.0,754.55,740.25,744.15,750.2,750.2,748.46,866.9,618.25,7767812,5813888956.6,117553,AXISBANK
2022-09-05,EQ,750.2,758.8,749.35,750.2,755.1,756.1,755.13,866.9,618.25,5894055,4450772151.65,102382,AXISBANK
2022-09-06,EQ,758.0,761.55,748.8,756.1,750.45,750.0,755.12,866.9,618.25,7606181,5743610063.6,111452,AXISBANK
2022-09-07,EQ,743.15,758.0,739.05,750.0,754.0,755.4,751.06,866.9,618.25,10156460,7628101507.7,162263,AXISBANK
2022-09-08,EQ,761.75,782.2,757.1,755.4,781.65,779.75,771.84,866.9,618.25,13410790,10351043796.9,216488,AXISBANK
2022-09-09,EQ,787.95,787.95,780.0,779.75,784.0,784.85,784.08,866.9,618.25,8732302,6846829859.65,166918,AXISBANK
2022-09-12,EQ,789.0,805.0,786.8,784.85,800.2,801.0,797.99,866.9,618.25,15521649,12386100055.6,231203,AXISBANK
2022-09-13,EQ,805.0,808.95,803.15,801.0,807.2,805.55,805.87,866.9,618.25,9887516,7968039277.75,134610,AXISBANK
2022-09-14,EQ,794.4,811.35,794.4,805.55,799.55,803.05,803.17,866.9,618.25,10494713,8429013688.75,166037,AXISBANK
2022-09-15,EQ,805.5,806.5,787.65,803.05,789.85,790.0,795.56,866.9,618.25,5996899,4770910644.1,154242,AXISBANK
2022-09-16,EQ,786.05,792.6,776.1,790.0,788.7,789.3,785.07,866.9,618.25,11467351,9002685744.15,185297,AXISBANK
2022-09-19,EQ,789.3,802.0,786.7,789.3,798.9,798.1,796.92,866.9,618.25,11427799,9107077473.55,165269,AXISBANK
2022-09-20,EQ,806.8,816.2,802.0,798.1,812.5,812.75,812.79,866.9,618.25,8274079,6725119021.85,185241,AXISBANK
2022-09-21,EQ,809.25,816.0,803.35,812.75,806.95,806.55,809.39,866.9,618.25,6567084,5315346221.4,132556,AXISBANK
2022-09-22,EQ,805.0,808.8,784.3,806.55,789.85,789.2,793.84,866.9,618.25,7804275,6195321376.8,156003,AXISBANK
2022-09-23,EQ,789.0,789.0,764.25,789.2,768.5,768.6,771.02,866.9,618.25,10278805,7925127534.65,213950,AXISBANK
2022-09-26,EQ,759.0,763.5,741.0,768.6,743.7,742.6,749.2,866.9,618.25,11090327,8308836955.05,228861,AXISBANK
2022-09-27,EQ,746.35,754.15,730.5,742.6,741.05,737.5,739.98,866.9,618.25,11358306,8404935403.15,211748,AXISBANK
2022-09-28,EQ,733.9,733.9,707.7,737.5,713.5,716.45,723.03,866.9,618.25,13170668,9522758538.2,201069,AXISBANK
2022-09-29,EQ,722.25,730.8,711.0,716.45,717.0,719.0,720.51,866.9,618.25,12090981,8711644942.95,169109,AXISBANK
2022-09-30,EQ,720.0,737.75,714.4,719.0,736.0,733.2,728.16,866.9,618.25,9536017,6943765913.2,151675,AXISBANK
2022-10-03,EQ,731.0,742.0,721.05,733.2,722.5,722.75,730.02,866.9,618.25,6405645,4676230706.0,130956,AXISBANK
2022-10-04,EQ,733.4,744.5,732.0,722.75,742.0,742.8,740.99,866.9,618.25,5438934,4030218328.55,191004,AXISBANK
2022-10-06,EQ,750.0,760.4,746.0,742.8,753.1,755.1,754.98,866.9,618.25,9376433,7079000222.85,231061,AXISBANK
2022-10-07,EQ,753.8,757.5,742.3,755.1,756.95,755.7,750.33,866.9,618.25,7500540,5627858712.6,136248,AXISBANK
2022-10-10,EQ,748.0,778.7,745.0,755.7,778.7,776.85,765.57,866.9,618.25,14106654,10799641474.35,201360,AXISBANK
2022-10-11,EQ,780.0,795.5,774.5,776.85,785.0,785.55,787.89,866.9,618.25,15953495,12569551720.1,257378,AXISBANK
2022-10-12,EQ,789.5,810.8,783.45,785.55,807.8,808.7,801.12,866.9,618.25,21228018,17006088312.9,295605,AXISBANK
2022-10-13,EQ,807.0,814.95,795.6,808.7,805.0,802.0,803.45,866.9,618.25,13024911,10464902283.0,250427,AXISBANK
2022-10-14,EQ,815.55,820.7,794.45,802.0,800.95,800.5,807.11,866.9,618.25,8220645,6634941576.05,167604,AXISBANK
2022-10-17,EQ,803.5,817.0,797.1,800.5,816.5,814.15,807.49,866.9,618.25,9463827,7641958703.6,175925,AXISBANK
2022-10-18,EQ,820.0,822.9,811.55,814.15,815.95,816.35,816.92,866.9,618.25,8470882,6920025326.95,170343,AXISBANK
2022-10-19,EQ,818.45,838.45,816.9,816.35,831.15,829.85,830.08,866.9,618.25,10868663,9021821939.05,228987,AXISBANK
2022-10-20,EQ,824.9,831.9,816.95,829.85,824.2,825.85,823.01,866.9,618.25,11813817,9722859848.8,165849,AXISBANK
2022-10-21,EQ,860.1,906.0,855.85,825.85,904.0,900.4,882.3,906.0,618.25,58057724,51224382764.35,681610,AXISBANK
2022-10-24,EQ,916.0,918.45,905.0,900.4,906.95,909.45,911.02,918.45,618.25,3085307,2810764121.4,60927,AXISBANK
2022-10-25,EQ,905.7,910.6,891.6,909.45,900.95,902.85,900.03,918.45,618.25,13187308,11869014497.25,250162,AXISBANK
2022-10-27,EQ,909.0,919.95,901.25,902.85,916.0,915.15,912.16,919.95,618.25,11967044,10915890898.8,398131,AXISBANK
2022-10-28,EQ,915.0,917.95,898.9,915.15,904.5,903.05,906.52,919.95,618.25,7320207,6635897716.1,190469,AXISBANK
2022-10-31,EQ,908.0,918.0,902.1,903.05,906.0,906.0,908.83,919.95,618.25,9038777,8214667268.45,216347,AXISBANK
2022-11-01,EQ,904.0,904.0,869.0,906.0,871.5,871.75,883.01,919.95,618.25,29191921,25776809633.75,310121,AXISBANK
2022-11-02,EQ,875.0,877.0,861.6,871.75,863.05,863.55,866.58,919.95,618.25,11029140,9557633798.6,156484,AXISBANK
2022-11-03,EQ,857.9,880.4,856.0,863.55,864.95,864.05,869.29,919.95,618.25,10185978,8854519785.1,178129,AXISBANK
2022-11-04,EQ,869.0,872.9,862.3,864.05,868.2,868.1,866.91,919.95,618.25,7323879,6349163479.0,137308,AXISBANK
2022-11-07,EQ,876.25,876.8,861.3,868.1,872.1,872.95,869.22,919.95,618.25,9931261,8632481814.1,205758,AXISBANK
2022-11-09,EQ,875.05,880.75,868.5,872.95,870.7,873.7,874.95,919.95,618.25,10190209,8915881667.55,213692,AXISBANK
2022-11-10,EQ,843.7,856.7,841.0,873.7,841.4,843.7,847.36,919.95,618.25,18956575,16063067255.1,248456,AXISBANK
2022-11-11,EQ,847.0,854.7,844.15,843.7,851.95,850.7,850.08,919.95,618.25,19329819,16431900484.45,226709,AXISBANK
2022-11-14,EQ,850.5,853.9,847.35,850.7,851.5,851.0,850.23,919.95,618.25,6985306,5939086496.15,117777,AXISBANK
2022-11-15,EQ,851.25,859.85,847.2,851.0,859.15,858.65,852.87,919.95,618.25,7124767,6076508603.65,121518,AXISBANK
2022-11-16,EQ,858.0,861.6,850.6,858.65,854.3,855.4,855.74,919.95,618.25,6521854,5581037417.2,109700,AXISBANK
2022-11-17,EQ,855.4,861.4,852.7,855.4,858.0,858.2,858.13,919.95,618.25,4909607,4213061950.65,102263,AXISBANK
2022-11-18,EQ,859.3,865.8,855.0,858.2,859.5,859.2,860.72,919.95,618.25,7065304,6081238666.35,127390,AXISBANK
2022-11-21,EQ,860.0,870.95,859.0,859.2,869.3,870.05,866.2,919.95,618.25,7209207,6244624208.7,130334,AXISBANK
2022-11-22,EQ,874.95,877.0,868.35,870.05,869.8,870.05,872.23,919.95,618.25,5535233,4828019794.45,120586,AXISBANK
2022-11-23,EQ,873.9,877.8,868.75,870.05,874.75,874.7,874.36,919.95,618.25,5861417,5124989495.3,156870,AXISBANK
2022-11-24,EQ,878.0,880.8,873.1,874.7,880.6,878.55,877.67,919.95,618.25,4928778,4325827928.75,109108,AXISBANK
2022-11-25,EQ,883.0,891.8,880.9,878.55,887.0,887.75,886.7,919.95,618.25,7614047,6751368785.05,127897,AXISBANK
2022-11-28,EQ,887.7,899.5,885.3,887.75,892.9,891.7,893.59,919.95,618.25,7928147,7084490499.8,171525,AXISBANK
2022-11-29,EQ,894.4,901.9,890.0,891.7,891.4,892.55,896.46,919.95,618.25,5661158,5075019756.85,117998,AXISBANK
2022-11-30,EQ,895.0,905.1,885.45,892.55,899.5,901.25,896.6,919.95,618.25,10452798,9371982104.85,161887,AXISBANK
2022-12-01,EQ,909.5,909.5,899.5,901.25,901.0,903.85,904.78,919.95,618.25,7053100,6381476881.75,170682,AXISBANK
2022-12-02,EQ,898.3,907.0,891.4,903.85,905.05,905.15,898.37,919.95,618.25,7988851,7176962931.9,169729,AXISBANK
2022-12-05,EQ,907.0,907.3,897.6,905.15,898.85,899.2,900.55,919.95,618.25,5098164,4591171172.4,119932,AXISBANK
2022-12-06,EQ,897.5,906.9,895.7,899.2,906.4,904.65,901.11,919.95,618.25,5351099,4821913125.55,119444,AXISBANK
2022-12-07,EQ,902.8,918.0,899.85,904.65,913.0,914.65,910.47,919.95,618.25,9103656,8288609561.25,173940,AXISBANK
2022-12-08,EQ,915.65,943.95,913.75,914.65,940.0,939.35,932.85,943.95,618.25,17466047,16293223045.65,242649,AXISBANK
2022-12-09,EQ,944.0,945.0,927.6,939.35,931.5,933.7,934.83,945.0,618.25,8018981,7496394922.7,179308,AXISBANK
2022-12-12,EQ,929.9,941.15,922.0,933.7,936.2,938.65,934.12,945.0,618.25,7621788,7119692049.0,171503,AXISBANK
2022-12-13,EQ,940.2,949.3,936.6,938.65,943.8,944.6,945.18,949.3,618.25,8136559,7690545463.7,125348,AXISBANK
2022-12-14,EQ,945.65,950.15,938.5,944.6,942.0,942.4,945.03,950.15,618.25,8573479,8102206813.1,154035,AXISBANK
2022-12-15,EQ,939.75,944.95,932.6,942.4,934.35,938.15,939.99,950.15,618.25,7359261,6917660944.35,133654,AXISBANK
2022-12-16,EQ,932.25,945.2,929.1,938.15,935.05,935.1,935.69,950.15,618.25,6926928,6481432927.25,156110,AXISBANK
2022-12-19,EQ,935.1,948.1,932.4,935.1,948.0,946.2,942.4,950.15,618.25,4842336,4563419682.5,186440,AXISBANK
2022-12-20,EQ,943.75,952.75,940.45,946.2,952.15,949.75,946.64,952.75,618.25,9511818,9004254576.45,264560,AXISBANK
2022-12-21,EQ,953.1,958.9,928.0,949.75,931.5,932.3,944.84,958.9,618.25,8368960,7907331223.75,196971,AXISBANK
2022-12-22,EQ,936.0,936.0,912.95,932.3,917.65,919.55,920.42,958.9,618.25,9202717,8470363272.7,166372,AXISBANK
2022-12-23,EQ,912.0,917.25,904.0,919.55,907.2,906.6,909.4,958.9,618.25,6371695,5794388371.7,147699,AXISBANK
2022-12-26,EQ,908.0,932.95,905.1,906.6,929.2,928.7,921.09,958.9,618.25,4764440,4388480555.9,150353,AXISBANK
2022-12-27,EQ,932.45,937.8,922.6,928.7,933.0,932.2,928.72,958.9,618.25,3346083,3107581249.55,145210,AXISBANK
2022-12-28,EQ,930.95,937.45,921.3,932.2,922.3,924.7,930.16,958.9,618.25,5956496,5540474228.75,129500,AXISBANK
2022-12-29,EQ,922.8,944.0,915.8,924.7,940.1,934.55,930.17,958.9,618.25,12204113,11351895482.05,124569,AXISBANK
2022-12-30,EQ,941.25,943.5,930.35,934.55,934.9,933.75,936.54,958.9,618.25,3704449,3469367082.75,103832,AXISBANK
2023-01-02,EQ,932.25,945.0,931.8,933.75,944.95,941.6,938.8,958.9,618.25,3498198,3284124090.3,104517,AXISBANK
2023-01-03,EQ,944.75,965.6,942.6,941.6,962.4,962.3,957.1,965.6,618.25,6927819,6630632307.0,155837,AXISBANK
2023-01-04,EQ,963.5,970.0,955.0,962.3,958.6,957.45,963.04,970.0,618.25,9059392,8724557855.4,216354,AXISBANK
2023-01-05,EQ,960.0,961.9,938.25,957.45,949.0,949.55,948.38,970.0,618.25,6998980,6637695128.0,162367,AXISBANK
2023-01-06,EQ,946.55,950.95,934.3,949.55,941.0,939.9,940.49,970.0,618.25,5787783,5443336337.1,139498,AXISBANK
2023-01-09,EQ,946.8,960.0,941.35,939.9,957.1,958.75,953.36,970.0,618.25,7025747,6698047557.75,168838,AXISBANK
2023-01-10,EQ,964.0,964.0,942.75,958.75,953.0,952.15,951.67,970.0,618.25,7140150,6795083848.5,164023,AXISBANK
2023-01-11,EQ,953.0,955.75,942.8,952.15,949.3,949.75,949.11,970.0,618.25,7100355,6739016954.65,165275,AXISBANK
2023-01-12,EQ,949.35,949.7,924.0,949.75,935.0,935.55,932.78,970.0,618.25,8661375,8079129127.55,190542,AXISBANK
2023-01-13,EQ,935.5,937.45,923.0,935.55,933.9,934.15,930.31,970.0,618.25,9083608,8450531726.75,260249,AXISBANK
2023-01-16,EQ,940.45,941.75,911.7,934.15,912.85,913.15,921.48,970.0,618.25,10008273,9222415307.55,248003,AXISBANK
2023-01-17,EQ,914.95,919.7,906.7,913.15,918.6,917.7,913.5,970.0,618.25,6904960,6307663794.55,173318,AXISBANK
2023-01-18,EQ,921.9,925.6,913.25,917.7,925.45,924.0,920.01,970.0,618.25,5730939,5272505587.6,156462,AXISBANK
2023-01-19,EQ,923.6,938.0,920.75,924.0,929.25,928.7,929.97,970.0,618.25,7721730,7180977050.05,200912,AXISBANK
2023-01-20,EQ,931.25,934.85,924.65,928.7,929.5,930.55,930.62,970.0,618.25,4511360,4198347256.55,123210,AXISBANK
2023-01-23,EQ,936.0,939.7,924.45,930.55,930.0,932.7,932.22,970.0,618.25,5236124,4881241388.05,171818,AXISBANK
2023-01-24,EQ,935.0,935.0,903.75,932.7,910.3,910.2,916.33,970.0,618.25,18527897,16977623877.2,385048,AXISBANK
2023-01-25,EQ,905.0,907.45,884.2,910.2,893.0,892.35,895.39,970.0,618.25,11921748,10674665887.0,224625,AXISBANK
2023-01-27,EQ,892.35,892.5,851.0,892.35,874.0,873.75,870.06,970.0,618.25,17300736,15052649408.95,326106,AXISBANK
2023-01-30,EQ,851.9,885.5,846.15,873.75,873.1,871.85,866.52,970.0,618.25,21233998,18399695455.6,446773,AXISBANK
2023-01-31,EQ,873.0,879.3,861.1,871.85,871.65,871.6,870.75,970.0,618.25,16856151,14677535972.45,332502,AXISBANK
2023-02-01,EQ,876.3,895.2,833.3,871.6,857.3,857.25,872.55,970.0,618.25,12409819,10828226729.6,287952,AXISBANK
2023-02-02,EQ,850.95,872.0,837.05,857.25,869.45,868.45,859.98,970.0,618.25,9567053,8227471934.75,264062,AXISBANK
2023-02-03,EQ,873.0,885.0,859.25,868.45,881.95,882.6,874.44,970.0,618.25,7365732,6440885052.85,202269,AXISBANK
2023-02-06,EQ,871.85,899.15,870.6,882.6,882.15,882.65,888.26,970.0,618.25,10129098,8997261263.4,199769,AXISBANK
2023-02-07,EQ,886.85,888.4,871.5,882.65,879.4,879.1,879.38,970.0,618.25,5055187,4445421176.35,142817,AXISBANK
2023-02-08,EQ,882.1,886.45,868.25,879.1,871.8,871.75,874.42,970.0,618.25,6572818,5747379790.7,174669,AXISBANK
2023-02-09,EQ,876.15,876.15,862.55,871.75,867.3,867.7,867.2,970.0,618.25,5993312,5197418814.9,176299,AXISBANK
2023-02-10,EQ,872.05,872.7,865.15,867.7,866.0,867.25,868.2,970.0,618.25,4603464,3996712982.2,129143,AXISBANK
2023-02-13,EQ,867.25,870.45,856.5,867.25,858.0,859.1,860.73,970.0,618.25,5707194,4912330456.2,156686,AXISBANK
2023-02-14,EQ,862.55,871.9,854.25,859.1,869.1,870.75,863.53,970.0,618.25,7527755,6500442064.8,170109,AXISBANK
2023-02-15,EQ,872.0,872.2,861.6,870.75,868.5,868.3,866.67,970.0,618.25,7322266,6345957684.6,160938,AXISBANK
2023-02-16,EQ,872.8,874.3,862.25,868.3,862.6,864.75,866.91,970.0,618.25,5843235,5065582780.0,163095,AXISBANK
2023-02-17,EQ,861.0,868.25,850.0,864.75,856.5,854.9,859.26,970.0,618.25,8420479,7235410479.8,166323,AXISBANK
2023-02-20,EQ,859.7,861.2,842.5,854.9,844.8,846.75,849.72,970.0,618.25,5992322,5091794054.0,147541,AXISBANK
2023-02-21,EQ,849.0,849.0,837.4,846.75,843.4,844.05,842.0,970.0,618.25,9677064,8148130050.95,204593,AXISBANK
2023-02-22,EQ,840.0,843.0,829.55,844.05,832.35,833.35,834.91,970.0,618.25,6984037,5831051834.8,205666,AXISBANK
2023-02-23,EQ,833.05,848.25,830.2,833.35,846.5,844.35,840.49,970.0,618.25,8437003,7091214576.9,226104,AXISBANK
2023-02-24,EQ,850.1,854.6,844.45,844.35,849.65,851.4,850.19,970.0,618.25,7763814,6600708998.0,170251,AXISBANK
2023-02-27,EQ,851.85,858.45,845.95,851.4,854.0,854.35,853.1,970.0,618.25,8064267,6879609625.3,169993,AXISBANK
2023-02-28,EQ,855.95,857.6,840.0,854.35,845.0,844.1,848.23,970.0,618.25,13012372,11037512530.45,177413,AXISBANK
2023-03-01,EQ,846.05,868.75,845.05,844.1,864.4,865.15,862.53,970.0,618.25,12345125,10648021369.5,221535,AXISBANK
2023-03-02,EQ,866.0,866.8,843.5,865.15,844.0,845.45,850.55,970.0,618.25,13900508,11823101800.75,257701,AXISBANK
2023-03-03,EQ,849.75,858.6,845.6,845.45,854.9,852.65,853.45,970.0,618.25,7977804,6808634804.8,168386,AXISBANK
2023-03-06,EQ,856.95,863.75,855.6,852.65,859.95,859.5,859.66,970.0,618.25,10781567,9268483932.75,165862,AXISBANK
2023-03-08,EQ,858.5,862.5,853.05,859.5,861.3,860.95,857.6,970.0,618.25,8785735,7534646787.65,171724,AXISBANK
2023-03-09,EQ,862.5,874.25,862.0,860.95,865.8,867.8,870.33,970.0,618.25,14746065,12833909979.65,154060,AXISBANK
2023-03-10,EQ,859.6,861.6,845.5,867.8,851.0,851.9,852.9,970.0,618.25,11198583,9551257752.9,179679,AXISBANK
2023-03-13,EQ,845.6,857.0,828.45,851.9,832.0,832.35,840.02,970.0,618.25,8315798,6985399708.85,175088,AXISBANK
2023-03-14,EQ,828.0,835.7,817.4,832.35,834.3,832.85,826.69,970.0,618.25,12573734,10394550260.65,262196,AXISBANK
2023-03-15,EQ,838.05,843.5,819.35,832.85,822.9,824.05,828.52,970.0,618.25,6652641,5511867830.65,166246,AXISBANK
2023-03-16,EQ,821.5,837.9,814.3,824.05,832.5,830.55,826.16,970.0,618.25,8791383,7263122832.85,270432,AXISBANK
2023-03-17,EQ,835.0,841.5,823.0,830.55,839.75,837.4,831.96,970.0,618.25,7762461,6458078587.6,166943,AXISBANK
2023-03-20,EQ,836.0,841.0,825.55,837.4,837.35,837.55,831.92,970.0,618.25,10744023,8938134767.25,231977,AXISBANK
2023-03-21,EQ,840.1,857.35,838.75,837.55,854.65,855.6,848.4,970.0,618.25,11489951,9748030141.05,215897,AXISBANK
2023-03-22,EQ,855.6,859.8,847.05,855.6,850.0,849.65,852.68,970.0,618.25,8018924,6837608644.85,139399,AXISBANK
2023-03-23,EQ,847.0,861.15,845.1,849.65,847.7,848.8,854.54,970.0,618.25,9857892,8423939611.75,161437,AXISBANK
2023-03-24,EQ,846.25,852.5,837.25,848.8,840.0,839.9,845.47,970.0,618.25,8078718,6830275637.9,196674,AXISBANK
2023-03-27,EQ,841.05,842.2,829.2,839.9,832.0,833.35,835.31,970.0,618.25,10602508,8856424106.65,220621,AXISBANK
2023-03-28,EQ,837.4,837.4,826.05,833.35,833.65,832.45,831.05,970.0,618.25,11002402,9143530130.6,169958,AXISBANK
2023-03-29,EQ,832.5,848.45,830.0,832.45,847.0,842.6,836.05,970.0,618.25,17121194,14314246634.65,183152,AXISBANK
2023-03-31,EQ,854.9,860.9,847.5,842.6,857.1,858.5,853.86,970.0,618.25,12946752,11054759333.6,246251,AXISBANK
2023-04-03,EQ,864.0,866.8,856.45,858.5,865.35,864.6,862.05,970.0,618.25,13266882,11436720768.45,134998,AXISBANK
2023-04-05,EQ,871.0,871.0,857.0,864.6,860.0,860.5,860.63,970.0,618.25,11890015,10232953006.7,188518,AXISBANK
2023-04-06,EQ,861.8,863.25,849.0,860.5,851.3,851.95,854.22,970.0,618.25,19677316,16808722254.05,197757,AXISBANK
2023-04-10,EQ,854.8,854.95,843.95,851.95,845.5,847.35,848.25,970.0,618.25,15656078,13280268139.0,140348,AXISBANK
2023-04-11,EQ,848.25,855.7,844.05,847.35,853.7,853.3,849.69,970.0,618.25,23930907,20333891050.0,191245,AXISBANK
2023-04-12,EQ,854.9,856.65,846.65,853.3,851.95,851.05,850.29,970.0,618.25,13480335,11462240653.5,160356,AXISBANK
2023-04-13,EQ,853.65,867.7,845.0,851.05,864.0,864.35,854.42,970.0,618.25,23934570,20450123140.3,176831,AXISBANK
2023-04-17,EQ,882.0,882.0,861.0,864.35,864.0,864.55,867.05,970.0,618.25,22577380,19575735178.1,178837,AXISBANK
2023-04-18,EQ,865.35,872.0,857.1,864.55,864.75,863.35,865.53,970.0,618.25,17238709,14920705065.35,140178,AXISBANK
2023-04-19,EQ,865.0,874.5,862.55,863.35,871.95,873.4,869.32,970.0,618.25,23494247,20424019478.25,170158,AXISBANK
2023-04-20,EQ,874.8,875.6,864.15,873.4,871.1,868.75,868.69,970.0,618.25,19444753,16891415680.1,128040,AXISBANK
2023-04-21,EQ,870.8,873.85,857.5,868.75,860.7,864.2,866.89,970.0,618.25,15520786,13454767337.1,117031,AXISBANK
2023-04-24,EQ,868.0,884.4,860.5,864.2,884.25,882.3,873.68,970.0,618.25,18201632,15902435367.85,170058,AXISBANK
2023-04-25,EQ,885.0,895.8,874.4,882.3,876.8,878.35,887.2,970.0,618.25,36394389,32289273339.6,221239,AXISBANK
2023-04-26,EQ,877.4,889.45,875.2,878.35,885.6,887.65,882.29,970.0,618.25,19468723,17177083781.2,231914,AXISBANK
2023-04-27,EQ,888.0,890.0,877.5,887.65,880.5,881.4,882.38,970.0,618.25,15992383,14111354670.75,211246,AXISBANK
2023-04-28,EQ,885.1,890.05,853.65,881.4,860.0,860.0,860.94,970.0,618.25,23004117,19805082924.8,371287,AXISBANK
2023-05-02,EQ,870.0,876.4,864.25,860.0,869.9,870.65,871.65,970.0,618.25,12947953,11286116515.35,208931,AXISBANK
2023-05-03,EQ,863.85,866.85,854.05,870.65,859.05,859.85,859.26,970.0,618.25,15103015,12977445017.4,289619,AXISBANK
2023-05-04,EQ,860.0,867.15,857.5,859.85,865.9,865.95,861.66,970.0,618.25,9756391,8406700680.1,212358,AXISBANK
2023-05-05,EQ,867.15,885.0,862.75,865.95,864.75,865.3,874.2,970.0,618.25,14343308,12538877195.7,196545,AXISBANK
2023-05-08,EQ,865.3,881.4,865.3,865.3,879.95,878.45,877.74,970.0,618.25,7007882,6151112520.7,134771,AXISBANK
2023-05-09,EQ,882.2,890.2,880.0,878.45,888.0,888.25,886.8,970.0,618.25,12117151,10745483967.45,156537,AXISBANK
2023-05-10,EQ,892.0,892.5,877.55,888.25,890.0,889.9,887.33,970.0,618.25,11893027,10553051459.1,167094,AXISBANK
2023-05-11,EQ,891.0,900.0,889.0,889.9,895.7,895.95,895.23,970.0,618.25,13816121,12368619503.95,200160,AXISBANK
2023-05-12,EQ,895.2,913.6,894.0,895.95,911.0,910.65,905.39,970.0,618.25,10533272,9536670795.0,161890,AXISBANK
2023-05-15,EQ,910.65,919.5,909.15,910.65,913.1,915.8,916.02,970.0,618.25,7339579,6723179195.5,183405,AXISBANK
2023-05-16,EQ,916.2,922.5,912.0,915.8,915.9,917.8,918.4,970.0,618.25,12567615,11542124160.15,154810,AXISBANK
2023-05-17,EQ,917.7,918.9,911.25,917.8,915.2,914.8,915.74,970.0,618.25,10248327,9384850303.7,159245,AXISBANK
2023-05-18,EQ,920.0,929.5,912.6,914.8,915.65,914.7,922.01,970.0,618.25,13614127,12552328653.7,214235,AXISBANK
2023-05-19,EQ,920.9,927.0,908.95,914.7,926.0,924.05,916.94,970.0,618.25,8393002,7695879382.05,149439,AXISBANK
2023-05-22,EQ,923.0,927.75,914.4,924.05,916.8,917.55,919.19,970.0,618.25,9383158,8624941377.95,130478,AXISBANK
